,year,month,day,hour,minute,second,cc,nchannel
0,2020,7,27,6,54,17.25,0.09938752201736929,7
1,2020,7,27,7,55,4.0,0.10053448475990419,7
2,2020,7,27,7,56,38.25,0.1130156837269782,7
3,2020,7,27,11,41,5.1,0.1166213835162984,7
4,2020,7,27,12,52,12.1,0.0957095759524343,8
5,2020,7,27,13,39,20.5,0.10898736380340733,7
6,2020,7,27,13,41,41.6,0.09349255258330395,7
7,2020,7,27,13,42,5.95,0.16352899754181843,7
8,2020,7,27,13,42,24.2,0.0955338966156096,7
9,2020,7,27,13,45,35.0,0.110725634964411,7
10,2020,7,27,13,57,58.7,0.10814024175754412,7
11,2020,7,27,14,37,18.1,0.09089092232207836,7
12,2020,7,27,22,26,26.6,0.08328037087056772,8
